8D70 (走): ラン | run
6C70 (汰): 洗浄,ふるいです,フィルタリング,淘汰,贅沢 | washing,sieving,filtering,weeding out,luxury
8A51 (詑): 欺く,惑わします | deceive,delude
553E (唾): 唾液,喀痰 | saliva,sputum
5815 (堕): 縮退しました,まで下降,陥ります | degenerate,descend to,lapse into
59A5 (妥): 穏やか,平和,堕落 | gentle,peace,depravity
60F0 (惰): 怠惰な,怠惰 | lazy,laziness
6253 (打): ストライク,ヒット,ノック,ポンド,ダース | strike,hit,knock,pound,dozen
67C1 (柁): ラダー,舵,ホイール | rudder,helm,wheel
8235 (舵): ラダー,舵,ホイール | rudder,helm,wheel
6955 (楕): 楕円 | ellipse
9640 (陀): 急な | steep
99C4 (駄): 煩わしいです,駄馬,馬の負荷,馬によって送ります,ささいな,価値のない | burdensome,pack horse,horse load,send by horse,trivial,worthless
9A28 (騨): まだら灰色の馬 | dappled grey horse
4F53 (体): 体,物質,オブジェクト,現実,画像のためのカウンタ | body,substance,object,reality,counter for images
5806 (堆): 高積ま | piled high
5BFE (対): 向かい合って,反対,さらに,等しい,対,抗,比較します | vis-a-vis,opposite,even,equal,versus,anti-,compare
8010 (耐): -証​​明,不朽の | -proof,enduring
5CB1 (岱): 中国の山の古い名前,台山 | old name for a Chinese mountain,Taishan
5E2F (帯): サッシ,ベルト,帯,ゾーン,領域 | sash,belt,obi,zone,region
5F85 (待): 待つ,頼ります | wait,depend on
6020 (怠): ネグレクト,怠惰 | neglect,laziness
614B (態): 姿勢,調子,フィギュア,外観,（動詞の）声 | attitude,condition,figure,appearance,voice (of verbs)
6234 (戴): 戴きます,（定規）の下で暮らします,受け取ります | be crowned with,live under (a ruler),receive
66FF (替): 交換,スペア,代替,あたり- | exchange,spare,substitute,per-
6CF0 (泰): 穏やかな,穏やかな,平和,簡単に,タイ,極端な,過度の,すばらしいです | peaceful,calm,peace,easy,Thailand,extreme,excessive,great
6EDE (滞): よどみました,遅延,期限を過ぎました,延滞 | stagnate,be delayed,overdue,arrears
80CE (胎): 子宮,子宮 | womb,uterus
817F (腿): 大腿,大腿骨 | thigh,femur
82D4 (苔): モス,地衣 | moss,lichen
888B (袋): 袋,バッグ,ポーチ | sack,bag,pouch
8CB8 (貸): 貸します | lend
9000 (退): 退却,撤退します,リタイア,辞職します,はじきます,追い出します,拒否する | retreat,withdraw,retire,resign,repel,expel,reject
902E (逮): 逮捕します,追跡 | apprehend,chase
968A (隊): 連隊,パーティー,会社,分隊 | regiment,party,company,squad
9EDB (黛): 眉墨 | blackened eyebrows
9BDB (鯛): 鯛,鯛 | sea bream,red snapper
4EE3 (代): 代替,変化する,変換,置き換える,期間,年齢,年齢の数十年のためのカウンタ,時代,等,世代,電荷,レート,代 | substitute,change,convert,replace,period,age,counter for decades of ages, eras, etc.,generation,charge,rate,fee
53F0 (台): 台座,スタンド,機械と車両用カウンタ | pedestal,a stand,counter for machines and vehicles
5927 (大): 大,大きい | large,big
7B2C (第): いいえ。,レジデンス | No.,residence
918D (醍): 乳清,良い仏教の教え | whey,good Buddhist teaching
984C (題): トピック,テーマ | topic,subject
9DF9 (鷹): タカ | hawk
6EDD (滝): 滝,早瀬,カスケード | waterfall,rapids,cascade
7027 (瀧): 滝,早瀬,カスケード | waterfall,rapids,cascade
5353 (卓): 著名な,表,机,高い | eminent,table,desk,high
5544 (啄): ペック,拾う | peck,pick up
5B85 (宅): ホーム,家,レジデンス,私たちの家,私の夫 | home,house,residence,our house,my husband
6258 (托): 要求,依嘱,装います,ヒント | requesting,entrusting with,pretend,hint
629E (択): 選ぶ,選択します,選民,好む | choose,select,elect,prefer
62D3 (拓): クリア（土地）,開いた,（土地）別れます | clear (the land),open,break up (land)
6CA2 (沢): 沼地,湿地,ブリリアンス,グレース | swamp,marsh,brilliance,grace
6FEF (濯): ランドリー,ウォッシュ,浴びせます,リンス | laundry,wash,pour on,rinse
7422 (琢): 研磨 | polish
8A17 (託): 委託,要求,依嘱,装います,ヒント | consign,requesting,entrusting with,pretend,hint
9438 (鐸): 大きな手の鐘 | large hand bell
6FC1 (濁): 有声,汚れ,違う,どぶろく,不純物 | voiced,uncleanness,wrong,nigori,impurity
8AFE (諾): 同意,同意,契約 | consent,assent,agreement
8338 (茸): キノコ | mushroom
